"Individual","Treatment","Timepoint","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels"
"Ind2","DOX","24R","10X","24R_DOX_87_yh2ax_10X_RGB_0005_DAPI",1272,44.40849844479,31.4339035769829,83.9362363919129,246.488868584759,353.417573872473
"Ind2","DOX","24R","10X","24R_DOX_87_yh2ax_10X_RGB_0006_DAPI",1205,42.6956441515651,29.2957166392092,84.3599670510708,245.246165568369,404.608731466227
"Ind2","DOX","24R","10X","24R_DOX_87_yh2ax_10X_RGB_0007_DAPI",1473,46.6346644518272,33.9514950166113,86.7767441860465,246.575393355482,305.215282392027
"Ind2","DOX","24R","10X","24R_DOX_87_yh2ax_10X_RGB_0008_DAPI",1473,46.6346644518272,33.9514950166113,86.7767441860465,246.575393355482,305.215282392027
"Ind2","DOX","24R","10X","24R_DOX_87_yh2ax_10X_RGB_0009_DAPI",1409,44.8381400422238,31.2448979591837,87.8613652357495,245.469844475721,354.819141449683
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0001_DAPI",1387,47.4077360912981,33.8837375178317,87.3238231098431,249.070812410842,348.096291012839
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0002_DAPI",1384,41.8946333808844,28.5256776034237,82.2689015691869,241.910244650499,339.028530670471
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0003_DAPI",508,34.9185078431373,22.1235294117647,77.3725490196078,208.257688235294,385.247058823529
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0004_DAPI",1053,44.1516380772856,30.703110273327,84.0339302544769,243.058441093308,405.382657869934
"Ind2","DOX","24R","10X","DOX24R_87_yh2ax_10X_RGB_0005_DAPI",1272,44.40849844479,31.4339035769829,83.9362363919129,246.488868584759,353.417573872473
