"Entrez_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","absFC","Cluster_Membership","Response_Direction"
653635,0.394562039429148,3.2249670687525,2.40196123328,0.0219299614448821,0.0445032763505197,-4.2637121984986,"WASH7P",0.394562039429148,"NoMotif",NA
729737,-0.973256139640867,3.30607355150121,-4.67522572766732,4.53038177627313e-05,0.00022954896197613,1.58835488989511,"LOC729737",0.973256139640867,"Recovered",NA
102723897,0.459778682057479,3.40251660434944,2.80994479864728,0.00816660361512805,0.0192394862068145,-3.38789304610173,"LOC102723897",0.459778682057479,"Recovered",NA
100132287,-0.495980487773093,2.59812472894423,-2.46199098344153,0.0190553570962355,0.0395039319908783,-4.03161190937262,"LOC100132287",0.495980487773093,"Recovered",NA
102465432,0.0297255148009832,6.50207732900216,0.15072231266246,0.881087323444725,0.911729739943004,-7.29693612360717,NA,0.0297255148009832,"Recovered",NA
100133331,-0.404995477114777,2.39507336541976,-2.05368356341262,0.0477780284473548,0.0860328960434701,-4.8241182817769,NA,0.404995477114777,"Recovered",NA
79854,0.69651178727681,0.300262405294644,2.02708712991369,0.0505689814266433,0.0901403267830332,-4.53548196994254,"LINC00115",0.69651178727681,"Recovered",NA
643837,-0.866270468398889,5.82333766379001,-6.7637966633488,9.02699163688611e-08,1.19793784289687e-06,7.50758042349701,"LINC01128",0.866270468398889,"Recovered",NA
100130417,0.0975654663209549,0.0812680109991223,0.242375359209171,0.809948519947818,0.856674018107018,-6.42550795183353,"LINC02593",0.0975654663209549,"NoMotif",NA
148398,2.26999915007595,0.607742428307635,4.81296417938155,3.0119125184248e-05,0.00016305321493884,2.28470677665875,"SAMD11",2.26999915007595,"NoMotif",NA
26155,0.617196111714467,6.4347217227515,6.20229920860333,4.75108302596768e-07,4.81804234056878e-06,5.84146673528531,"NOC2L",0.617196111714467,"Recovered",NA
339451,-0.547249049466863,3.79577950285746,-3.21993754759704,0.00282426031577545,0.00778751847902727,-2.4322121733358,"KLHL17",0.547249049466863,"Recovered",NA
57801,-1.10597848994478,5.27541397037155,-5.82122679936157,1.4808803263454e-06,1.26369042866149e-05,4.75594451201931,"HES4",1.10597848994478,"NoMotif",NA
9636,0.368838769141252,3.19122521075155,1.40749868560037,0.16837577511663,0.245591598644701,-5.97345579095158,"ISG15",0.368838769141252,"Recovered",NA
375790,-0.456422675269626,9.27061167787648,-2.58149916859119,0.0143320038905865,0.0310844004619507,-4.06207314917007,"AGRN",0.456422675269626,"NoMotif",NA
54991,-1.07759145635209,3.19201310434901,-6.51400185649663,1.88479366562345e-07,2.22126423852364e-06,6.99909273692309,"C1orf159",1.07759145635209,"Recovered",NA
51150,-0.0161184491990047,8.13305061447126,-0.147194434791828,0.883849778078063,0.913911393147009,-7.23812269654651,"SDF4",0.0161184491990047,"Recovered",NA
126792,-0.322923679222945,5.64497733107186,-3.48924042622547,0.00136300337814371,0.00419995136665906,-1.96077645888357,"B3GALT6",0.322923679222945,"NoMotif",NA
388581,0.732584313433979,-0.103055371221024,2.41430852402218,0.0213083251870325,0.0434635197084213,-3.73093182633851,"C1QTNF12",0.732584313433979,"Recovered",NA
118424,0.519406232158374,5.42311376205292,3.34807551262844,0.00200240645216346,0.00581039745839431,-2.3098489637281,"UBE2J2",0.519406232158374,"Recovered",NA
6339,0.505908487302866,3.2374057240999,2.23941936962379,0.0317927375239666,0.0608854097372847,-4.57462577024073,"SCNN1D",0.505908487302866,"NoMotif",NA
116983,-0.239918475051048,6.2571169798349,-2.07876308170696,0.0452710695602401,0.0821280178681208,-5.22023337292015,"ACAP3",0.239918475051048,"NoMotif",NA
126789,-0.982946887397612,2.78407085733355,-6.38359097702139,2.7729605771624e-07,3.06137413295207e-06,6.66974689505442,"PUSL1",0.982946887397612,"Recovered",NA
54973,0.304326104083291,5.77285749344264,3.15043338827683,0.00339578992284292,0.0091313269305517,-2.83621768894989,"INTS11",0.304326104083291,"NoMotif",NA
80772,-0.241398726311929,4.47082642957324,-1.14994998810836,0.258205875942582,0.349985794928231,-6.51850417888101,"CPTP",0.241398726311929,"Recovered",NA
83756,1.224877272686,1.10613736295016,4.69716932583839,4.24557147036414e-05,0.00021797181026943,1.93738223879945,"TAS1R3",1.224877272686,"Recovered",NA
1855,-0.326211615494927,5.526485220204,-2.57831977268375,0.0144422741401256,0.031271574688108,-4.17206599001065,"DVL1",0.326211615494927,"Recovered",NA
54587,-1.40140610520621,4.03086245006225,-6.07162735270721,7.01147377658066e-07,6.65323346632595e-06,5.63362099367404,"MXRA8",1.40140610520621,"NoMotif",NA
54998,0.20343962092276,5.49233400242775,1.65335665326635,0.10748329520941,0.169163915597224,-5.93219801835401,"AURKAIP1",0.20343962092276,"Recovered",NA
81669,-0.362324620238021,7.45956261116174,-2.9702733538494,0.00543207672079723,0.0136445064972362,-3.26925406396563,"CCNL2",0.362324620238021,"NoMotif",NA
148413,0.313689185989571,3.54837484291024,1.87451938705954,0.0694899872654607,0.117671136193724,-5.32284505927722,"MRPL20-AS1",0.313689185989571,"Recovered",NA
55052,0.299350233767225,5.28017581978417,2.8940817937145,0.00660187404723229,0.0160714441486432,-3.43272034764007,"MRPL20",0.299350233767225,"NoMotif",NA
64856,-1.41497319834281,2.96137655473008,-4.37954707551505,0.00010814227444528,0.000482245165924,0.794605385662139,"VWA1",1.41497319834281,"Sustained","notproSus"
219293,-0.100168167038313,0.0729524309357114,-0.288090965319981,0.77502974122882,0.828801408861499,-6.40847572345333,"ATAD3C",0.100168167038313,"Recovered",NA
